"end_lat","end_lng","number_of_members","number_of_casuals","number_of_electric","number_of_classic","number_of_docked","total"
41.7,-87.59,8,11,19,0,0,19
41.7,-87.57,1,0,1,0,0,1
41.7,-87.56,1,23,24,0,0,24
41.7,-87.54,18,51,69,0,0,69
41.7,-87.53,12,51,63,0,0,63
41.7,-87.52,6,4,10,0,0,10
41.700121,-87.61226,0,21,0,0,21,21
41.7001213792389,-87.6122599840164,20,91,46,65,0,111
41.7028008502259,-87.5597262382507,38,108,68,78,0,146
41.702801,-87.559726,0,4,0,0,4,4
41.704575,-87.528232,0,30,0,0,30,30
41.7045750872071,-87.5282317399979,39,184,57,166,0,223
41.704587,-87.681203,0,13,0,0,13,13
41.7045871021891,-87.6812034845352,91,148,100,139,0,239
41.7046131666667,-87.5284511666667,0,1,1,0,0,1
41.7046293333333,-87.6811565,0,1,1,0,0,1
41.7049255649976,-87.6568681095887,67,51,68,50,0,118
41.704926,-87.656868,0,6,0,0,6,6
41.7051397889324,-87.6424241065979,75,53,88,40,0,128
41.70514,-87.642424,0,1,0,0,1,1
41.7053079969982,-87.6292169094086,11,19,7,23,0,30
41.705308,-87.629217,0,7,0,0,7,7
41.70717,-87.618472,0,4,0,0,4,4
41.7071702711776,-87.6184719800949,36,118,90,64,0,154
41.70725,-87.607663,0,18,0,0,18,18
41.7072503677818,-87.6076626777649,55,105,73,87,0,160
41.709581,-87.590234,0,1,0,0,1,1
41.7095811352626,-87.5902336835861,120,11,101,30,0,131
41.71,-87.74,0,2,2,0,0,2
41.71,-87.72,22,163,185,0,0,185
41.71,-87.71,0,10,10,0,0,10
41.71,-87.7,9,39,48,0,0,48
41.71,-87.69,15,47,62,0,0,62
41.71,-87.68,20,79,99,0,0,99
41.71,-87.67,129,218,347,0,0,347
41.71,-87.66,5,40,45,0,0,45
41.71,-87.65,5,26,31,0,0,31
41.71,-87.64,21,46,67,0,0,67
41.71,-87.63,6,38,44,0,0,44
41.71,-87.62,13,30,43,0,0,43
41.71,-87.61,32,27,59,0,0,59
41.71,-87.6,166,146,311,1,0,312
41.71,-87.59,35,20,55,0,0,55
41.71,-87.58,4,5,9,0,0,9
41.71,-87.57,9,18,27,0,0,27
41.71,-87.56,6,12,18,0,0,18
41.71,-87.55,8,2,10,0,0,10
41.71,-87.54,5,19,24,0,0,24
41.71,-87.53,4,8,12,0,0,12
41.712164,-87.667733,0,16,0,0,16,16
41.712164103598,-87.6677334308624,79,218,176,121,0,297
41.712748761095,-87.5348138809204,54,71,31,94,0,125
41.712749,-87.534814,0,11,0,0,11,11
41.713317,-87.551098,0,12,0,0,12,12
41.713317395477,-87.5510975718498,18,26,8,36,0,44
41.713397,-87.565842,0,3,0,0,3,3
41.7133974844225,-87.5658416748047,63,50,34,79,0,113
41.7137098303562,-87.5308442115784,76,113,48,141,0,189
41.71371,-87.530844,0,102,0,0,102,102
41.717878,-87.564592,0,13,0,0,13,13
41.717878301935,-87.5645917654037,9,34,11,32,0,43
41.718703,-87.597036,0,3,0,0,3,3
41.7187031547574,-87.5970357656479,156,67,169,54,0,223
41.718963,-87.608296,0,9,0,0,9,9
41.7189634216545,-87.6082956790924,393,129,338,184,0,522
41.719712,-87.64302,0,15,0,0,15,15
41.7197121836188,-87.6430195569992,227,95,157,165,0,322
41.72,-87.78,0,1,1,0,0,1
41.72,-87.74,0,2,2,0,0,2
41.72,-87.73,1,1,2,0,0,2
41.72,-87.72,0,3,3,0,0,3
41.72,-87.7,0,3,3,0,0,3
41.72,-87.69,6,6,12,0,0,12
41.72,-87.68,77,167,244,0,0,244
41.72,-87.67,30,33,63,0,0,63
41.72,-87.66,49,61,110,0,0,110
41.72,-87.65,69,33,102,0,0,102
41.72,-87.64,40,27,67,0,0,67
41.72,-87.63,40,13,53,0,0,53
41.72,-87.62,105,161,266,0,0,266
41.72,-87.61,120,25,145,0,0,145
41.72,-87.6,60,49,109,0,0,109
41.72,-87.59,3,3,6,0,0,6
41.72,-87.58,19,17,36,0,0,36
41.72,-87.57,18,11,29,0,0,29
41.72,-87.56,1,8,9,0,0,9
41.72,-87.55,1,1,2,0,0,2
41.72,-87.54,9,33,42,0,0,42
41.72,-87.53,4,8,12,0,0,12
41.72,-87.52,0,1,1,0,0,1
41.721696,-87.622278,0,1,1,0,0,1
41.7218499,-87.6228544,361,386,444,303,0,747
41.72185,-87.622854,0,14,0,0,14,14
41.7222907409526,-87.5789684057236,53,60,36,77,0,113
41.722291,-87.578968,0,14,0,0,14,14
41.726166,-87.566276,0,4,0,0,4,4
41.7261663902451,-87.5662761926651,34,36,20,50,0,70
41.7267989637012,-87.6542901992798,166,84,127,123,0,250
41.726799,-87.65429,0,13,0,0,13,13
41.7275756592996,-87.6348280906677,11,74,48,37,0,85
41.727576,-87.634828,0,4,0,0,4,4
41.728204,-87.5497,0,14,0,0,14,14
41.728204215358,-87.5497001409531,60,111,64,107,0,171
41.7282338,-87.6675239,63,141,100,104,0,204
41.728234,-87.667524,0,27,0,0,27,27
41.728264,-87.597299,0,3,0,0,3,3
41.7282642681627,-87.5972986221313,42,93,73,62,0,135
41.729285,-87.611032,0,5,0,0,5,5
41.7292851572549,-87.6110315322876,46,65,36,75,0,111
41.73,-87.72,0,1,1,0,0,1
41.73,-87.68,13,53,66,0,0,66
41.73,-87.67,15,26,41,0,0,41
41.73,-87.66,12,27,39,0,0,39
41.73,-87.65,76,9,85,0,0,85
41.73,-87.64,4,30,34,0,0,34
41.73,-87.63,6,11,17,0,0,17
41.73,-87.62,21,10,31,0,0,31
41.73,-87.61,19,34,53,0,0,53
41.73,-87.6,7,48,55,0,0,55
41.73,-87.59,3,31,34,0,0,34
41.73,-87.58,2,21,23,0,0,23
41.73,-87.57,2,7,9,0,0,9
41.73,-87.56,18,15,33,0,0,33
41.73,-87.55,101,48,149,0,0,149
41.73,-87.54,2,12,14,0,0,14
41.7313949433024,-87.5857436656952,41,123,72,92,0,164
41.731395,-87.585744,0,15,0,0,15,15
41.7323797532955,-87.6580694317818,44,109,95,58,0,153
41.73238,-87.658069,0,3,0,0,3,3
41.7336687907147,-87.558342218399,44,102,42,104,0,146
41.733669,-87.558342,0,12,0,0,12,12
41.736218766794,-87.6226454973221,77,46,70,53,0,123
41.736219,-87.622645,0,1,0,0,1,1
41.7365530183196,-87.6226441562176,84,38,76,46,0,122
41.736559,-87.601258,0,8,0,0,8,8
41.7365590228221,-87.6012575626373,70,93,51,112,0,163
41.736646,-87.622634,89,126,118,90,7,215
41.736815,-87.582801,0,8,0,0,8,8
41.7368152144067,-87.5828012824059,72,78,60,90,0,150
41.737151,-87.57274,0,17,0,0,17,17
41.7371514643106,-87.572740316391,38,77,41,74,0,115
41.7373356004167,-87.5485146045685,65,123,85,103,0,188
41.737336,-87.548515,0,11,0,0,11,11
41.737848,-87.6449,0,2,0,0,2,2
41.7378484767334,-87.6448997855186,119,53,67,105,0,172
41.74,-87.74,0,3,3,0,0,3
41.74,-87.73,0,1,1,0,0,1
41.74,-87.72,1,1,2,0,0,2
41.74,-87.71,0,2,2,0,0,2
41.74,-87.7,0,1,1,0,0,1
41.74,-87.69,1,2,3,0,0,3
41.74,-87.68,43,15,58,0,0,58
41.74,-87.67,1,20,21,0,0,21
41.74,-87.66,167,39,206,0,0,206
41.74,-87.65,30,36,66,0,0,66
41.74,-87.64,7,4,11,0,0,11
41.74,-87.63,62,56,118,0,0,118
41.74,-87.62,29,29,58,0,0,58
41.74,-87.61,39,28,67,0,0,67
41.74,-87.6,47,56,103,0,0,103
41.74,-87.59,20,59,79,0,0,79
41.74,-87.58,21,39,60,0,0,60
41.74,-87.57,4,36,40,0,0,40
41.74,-87.56,39,28,67,0,0,67
41.74,-87.55,181,32,213,0,0,213
41.74,-87.54,4,5,9,0,0,9
41.74,-87.53,13,51,64,0,0,64
41.7414865286181,-87.6584100723267,70,63,47,86,0,133
41.741487,-87.65841,0,7,0,0,7,7
41.743116,-87.6148,98,75,42,110,21,173
